pair,role_a,role_b,track,mfcc_l2,mfcc_mae,mfcc_pearsonr,mfcc_frame_l2,cosine_similarity,centroid_diff,rolloff_diff,bandwidth_diff,chroma_cosine,chroma_pearsonr,mel_l1,mel_l2,rms_db_diff,tempo_diff,mfcc_band_0_mae,mfcc_band_1_mae,mfcc_band_2_mae,mfcc_band_3_mae,mfcc_band_4_mae,mfcc_band_5_mae,mfcc_band_6_mae,mfcc_band_7_mae,mfcc_band_8_mae,mfcc_band_9_mae,mfcc_band_10_mae,mfcc_band_11_mae,mfcc_band_12_mae
model_vs_target,model,target,02034_Vitamin_Pets_Is_Dead_instrumental_chunk005_10000ms,670.444091796875,72.43716430664062,0.7996004284382432,178.35406494140625,0.8430489091569184,3401.702766329411,6586.088205455741,1803.2494689962073,0.9886467949109402,-0.1248223050460672,25.20005989074707,29.92985725402832,36.82196000445896,63.34929435483872,658.6697998046875,9.486701965332031,79.95045471191406,84.09205627441406,34.6618766784668,16.849864959716797,13.665000915527344,10.767986297607422,6.521451950073242,1.6709108352661133,13.088032722473145,3.298415184020996,8.96078109741211
model_vs_target,model,target,02034_Vitamin_Pets_Is_Dead_instrumental_chunk006_12000ms,614.9910888671875,69.35063171386719,0.8433086691524142,166.830810546875,0.8734668354765217,3041.698292499579,6023.093503238668,1640.4410413103685,0.9807215497562104,-0.34943238753693245,27.80158042907715,32.09977722167969,36.07294528634077,53.8330078125,602.3067016601562,29.89104461669922,76.53152465820312,81.91014862060547,31.18749237060547,20.20335578918457,10.394864082336426,12.197912216186523,5.327492713928223,5.984436988830566,12.773757934570312,2.345498561859131,10.503900527954102
model_vs_target,model,target,02034_Vitamin_Pets_Is_Dead_instrumental_chunk007_14000ms,668.5237426757812,70.9420394897461,0.8493514403131273,177.6054229736328,0.857353797528649,2927.3464708342276,5804.666218250764,1553.3161844780557,0.9824625709842851,-0.36577502462405004,23.46767807006836,27.771852493286133,38.300539870004755,2.7784778225806406,658.911376953125,16.10533905029297,71.60186767578125,74.6841812133789,31.098003387451172,16.388731002807617,11.042659759521484,13.588837623596191,0.5212569236755371,4.28547477722168,11.522721290588379,2.776834726333618,9.71927547454834
model_vs_target,model,target,02034_Vitamin_Pets_Is_Dead_instrumental_chunk008_16000ms,661.2908325195312,72.13917541503906,0.8133462175393141,179.19651794433594,0.8533184322100847,2875.1041160452905,5505.293275013364,1535.3373590892675,0.985521939566538,-0.6834448847830683,27.537023544311523,31.655900955200195,37.865830248118556,21.231617647058826,650.1502075195312,41.55906677246094,74.72254180908203,75.2016372680664,27.14084243774414,10.997014999389648,20.74814224243164,12.206023216247559,0.6473708152770996,2.699873924255371,10.131793975830078,1.9543370008468628,9.650370597839355
model_vs_target,model,target,02034_Vitamin_Pets_Is_Dead_instrumental_chunk009_18000ms,683.4685668945312,72.07378387451172,0.7944567256715946,181.6881103515625,0.8379619013963848,3045.2319829800563,5901.460681686862,1624.5513845497617,0.9873198512423969,-0.17359742000604042,24.0753116607666,28.630382537841797,36.72510181751859,4.893909801136374,673.5139770507812,22.290176391601562,77.56338500976562,74.2900619506836,27.119213104248047,7.598821640014648,18.29464340209961,14.216814041137695,2.8248021602630615,0.9836204051971436,7.126898288726807,2.0648937225341797,9.071916580200195
model_vs_target,model,target,02034_Vitamin_Pets_Is_Dead_instrumental_chunk010_20000ms,672.0355224609375,71.83238983154297,0.7795378062800034,178.39215087890625,0.8380454760567558,3153.5599768963807,6042.809076159228,1594.515677869065,0.9922614566775112,-0.14334471794027434,24.79327392578125,29.097698211669922,37.27148788176102,79.4677734375,661.1244506835938,23.030548095703125,80.96881103515625,75.06708526611328,33.49993896484375,7.306493759155273,12.826791763305664,16.773611068725586,0.35338354110717773,0.6833839416503906,8.084660530090332,2.699709177017212,11.4021635055542
model_vs_target,model,target,02034_Vitamin_Pets_Is_Dead_instrumental_chunk011_22000ms,690.6780395507812,74.61763763427734,0.8283796423537201,188.0873260498047,0.8481166092499206,3541.0928682546028,6655.040100392513,2055.5634430455466,0.9956543319744305,-0.27346912329241146,26.877498626708984,30.882856369018555,42.042011565040056,23.15398185483872,680.199462890625,35.317203521728516,64.88555145263672,81.6720962524414,33.51655578613281,15.869948387145996,3.3714442253112793,22.130605697631836,0.442659854888916,3.2303009033203125,13.564740180969238,3.3957414627075195,12.432936668395996
model_vs_target,model,target,02034_Vitamin_Pets_Is_Dead_instrumental_chunk012_24000ms,698.7049560546875,74.0169906616211,0.8643311752377675,186.54931640625,0.8531273945061905,1557.717204731077,1426.9027701332907,999.6436597808342,0.9880695722183607,-0.476574650879232,23.069286346435547,27.62297248840332,43.18056535663726,5.561440677966104,689.5887451171875,7.5314483642578125,63.009578704833984,72.16248321533203,46.971405029296875,21.265727996826172,13.023521423339844,18.374404907226562,3.442310333251953,5.545914173126221,10.03664493560791,0.6825871467590332,10.586092948913574
model_vs_target,model,target,02034_Vitamin_Pets_Is_Dead_instrumental_chunk013_26000ms,653.80322265625,69.84367370605469,0.8805992817424084,180.79856872558594,0.8750140313636943,1598.330500007081,1316.6266399881115,791.0839211318589,0.9854338919345716,-0.5481311566707723,25.721704483032227,30.097698211669922,38.97024044649614,17.35276442307692,643.8870849609375,21.469425201416016,58.638328552246094,82.45130920410156,36.08878707885742,21.16815185546875,3.7432541847229004,14.484891891479492,1.5811614990234375,2.89615535736084,8.878398895263672,2.732851266860962,9.947837829589844
model_vs_target,model,target,02035_Spowder_Miracle_Grow_instrumental_chunk000_0ms,557.7254638671875,59.309326171875,0.8585485004581892,141.8245086669922,0.8908775880025122,407.2192791805928,1657.1565494493707,1095.635103908653,0.9741544407976835,0.49229359548291185,19.203838348388672,22.820873260498047,31.022441402352467,8.08547913950457,548.4838256835938,69.80046844482422,64.56245422363281,10.238866806030273,12.956376075744629,9.916346549987793,23.20278549194336,2.119853973388672,1.7453033924102783,9.779236793518066,11.884079933166504,5.278059005737305,1.0535064935684204
